Parser Name,Status,Category,Python File,Notes
"notificationofinfringement","RENAMED","Missing Comment","notificationofinfringement.py","No translation comment, but Python file exists"
"nsc","RENAMED","Missing Comment","nsc.py","No translation comment, but Python file exists"
"nt_gov","RENAMED","Missing Comment","nt_gov.py","No translation comment, but Python file exists"
"ntt","RENAMED","Missing Comment","ntt.py","No translation comment, but Python file exists"
"nwf","RENAMED","Missing Comment","nwf.py","No translation comment, but Python file exists"
"nyx","RENAMED","Missing Comment","nyx.py","No translation comment, but Python file exists"
"obp_corsearch","RENAMED","Missing Comment","obp_corsearch.py","No translation comment, but Python file exists"
"octopusdns","RENAMED","Missing Comment","octopusdns.py","No translation comment, but Python file exists"
"oneandone","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"onecloud","RENAMED","Missing Comment","onecloud.py","No translation comment, but Python file exists"
"onsist","RENAMED","Missing Comment","onsist.py","No translation comment, but Python file exists"
"oplium","RENAMED","Missing Comment","oplium.py","No translation comment, but Python file exists"
"oppl","RENAMED","Missing Comment","oppl.py","No translation comment, but Python file exists"
"opsec_enforcements","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"opsec_protect","RENAMED","Missing Comment","opsec_protect.py","No translation comment, but Python file exists"
"opsecsecurityonline","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"orange","RENAMED","Missing Comment","orange.py","No translation comment, but Python file exists"
"orange_fr","RENAMED","Missing Comment","orange_fr.py","No translation comment, but Python file exists"
"orangecyberdefense","RENAMED","Missing Comment","orangecyberdefense.py","No translation comment, but Python file exists"
"osn","RENAMED","Missing Comment","osn.py","No translation comment, but Python file exists"
"outlook","RENAMED","Missing Comment","outlook.py","No translation comment, but Python file exists"
"outseer","RENAMED","Missing Comment","outseer.py","No translation comment, but Python file exists"
"ovh","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"p44","RENAMED","Missing Comment","p44.py","No translation comment, but Python file exists"
"packet","RENAMED","Similar Python Found","datapacket.py","Similar Python file exists"
"paps","RENAMED","Missing Comment","paps.py","No translation comment, but Python file exists"
"paramount","RENAMED","Missing Comment","paramount.py","No translation comment, but Python file exists"
"paypal","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"pccc_trap","RENAMED","Missing Comment","pccc_trap.py","No translation comment, but Python file exists"
"pedohunt","RENAMED","Missing Comment","pedohunt.py","No translation comment, but Python file exists"
"penega","RENAMED","Missing Comment","penega.py","No translation comment, but Python file exists"
"perfettivanmelle","RENAMED","Missing Comment","perfettivanmelle.py","No translation comment, but Python file exists"
"perso","RENAMED","Missing Comment","perso.py","No translation comment, but Python file exists"
"phishfort","VERIFIED","Verified","phishfort.py",""
"phishlabscom","VERIFIED","Verified","phishlabscom.py",""
"phoenixadvocates","RENAMED","Missing Comment","phoenixadvocates.py","No translation comment, but Python file exists"
"phototakedown","RENAMED","Missing Comment","phototakedown.py","No translation comment, but Python file exists"
"pj3cx","RENAMED","Missing Comment","pj3cx.py","No translation comment, but Python file exists"
"profihost","RENAMED","Missing Comment","profihost.py","No translation comment, but Python file exists"
"project_honeypot_trap","RENAMED","Missing Comment","project_honeypot_trap.py","No translation comment, but Python file exists"
"promusicae","RENAMED","Missing Comment","promusicae.py","No translation comment, but Python file exists"
"prsformusic","RENAMED","Missing Comment","prsformusic.py","No translation comment, but Python file exists"
"psychz","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"puglia","RENAMED","Missing Comment","puglia.py","No translation comment, but Python file exists"
"puig","RENAMED","Missing Comment","puig.py","No translation comment, but Python file exists"
"pwn2_zip","RENAMED","Missing Comment","pwn2_zip.py","No translation comment, but Python file exists"
"quadranet","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"qwertynetworks","RENAMED","Missing Comment","qwertynetworks.py","No translation comment, but Python file exists"
"rackspace","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"rapid7","RENAMED","Missing Comment","rapid7.py","No translation comment, but Python file exists"
"react","RENAMED","Missing Comment","react.py","No translation comment, but Python file exists"
"realityripple","RENAMED","Missing Comment","realityripple.py","No translation comment, but Python file exists"
"recordedfuture","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"redfish","RENAMED","Missing Comment","redfish.py","No translation comment, but Python file exists"
"rediffmail_tis","RENAMED","Missing Comment","rediffmail_tis.py","No translation comment, but Python file exists"
"redpoints","RENAMED","Missing Comment","redpoints.py","No translation comment, but Python file exists"
"reggerspaul","RENAMED","Missing Comment","reggerspaul.py","No translation comment, but Python file exists"
"regioconnect","RENAMED","Missing Comment","regioconnect.py","No translation comment, but Python file exists"
"registro","RENAMED","Missing Comment","registro.py","No translation comment, but Python file exists"
"removal_request","RENAMED","Missing Comment","removal_request.py","No translation comment, but Python file exists"
"revengepornhelpline","RENAMED","Missing Comment","revengepornhelpline.py","No translation comment, but Python file exists"
"riaa","VERIFIED","Verified","riaa.py",""
"richardwebley","RENAMED","Missing Comment","richardwebley.py","No translation comment, but Python file exists"
"ricomanagement","RENAMED","Missing Comment","ricomanagement.py","No translation comment, but Python file exists"
"riskiq","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"rivertec","RENAMED","Missing Comment","rivertec.py","No translation comment, but Python file exists"
"rogers","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"route53","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"rsjaffe","RENAMED","Missing Comment","rsjaffe.py","No translation comment, but Python file exists"
"ruprotect","RENAMED","Missing Comment","ruprotect.py","No translation comment, but Python file exists"
"sakura","RENAMED","Missing Comment","sakura.py","No translation comment, but Python file exists"
"savana","RENAMED","Missing Comment","savana.py","No translation comment, but Python file exists"
"sbcglobal","RENAMED","Missing Comment","sbcglobal.py","No translation comment, but Python file exists"
"scaleway","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"scert","RENAMED","Missing Comment","scert.py","No translation comment, but Python file exists"
"secureserver","RENAMED","Missing Comment","secureserver.py","No translation comment, but Python file exists"
"selcloud","RENAMED","Missing Comment","selcloud.py","No translation comment, but Python file exists"
"serverplan","RENAMED","Missing Comment","serverplan.py","No translation comment, but Python file exists"
"serverstack","RENAMED","Missing Comment","serverstack.py","No translation comment, but Python file exists"
"serviceexpress","RENAMED","Missing Comment","serviceexpress.py","No translation comment, but Python file exists"
"shadowserver","RENAMED","Missing Comment","shadowserver.py","No translation comment, but Python file exists"
"shadowserver_digest","RENAMED","Missing Comment","shadowserver_digest.py","No translation comment, but Python file exists"
"sharktech","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"shinhan","RENAMED","Missing Comment","shinhan.py","No translation comment, but Python file exists"
"shopify","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"sia","RENAMED","Missing Comment","sia.py","No translation comment, but Python file exists"
"sidnnl","RENAMED","Missing Comment","sidnnl.py","No translation comment, but Python file exists"
"simple_format","RENAMED","Similar Python Found","ZY_simple_format.py","Similar Python file exists"
"simple_guess_parser","RENAMED","Similar Python Found","ZZ_simple_guess_parser.py","Similar Python file exists"
"simple_rewrite","RENAMED","Similar Python Found","002_simple_rewrite.py","Similar Python file exists"
"simple_tis","RENAMED","Missing Comment","simple_tis.py","No translation comment, but Python file exists"
"simple_url_report","RENAMED","Similar Python Found","05_simple_url_report.py","Similar Python file exists"
"sk_broadband","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"skhron","RENAMED","Missing Comment","skhron.py","No translation comment, but Python file exists"
"sky","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"softlayer","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"sony","RENAMED","Missing Comment","sony.py","No translation comment, but Python file exists"
"spamcop","VERIFIED","Verified","spamcop.py",""
"spamhaus","VERIFIED","Verified","spamhaus.py",""
"spectrum","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"squarespace","VERIFIED","Verified","squarespace.py",""
"stackpath","RENAMED","Missing Comment","stackpath.py","No translation comment, but Python file exists"
"staxogroup","RENAMED","Missing Comment","staxogroup.py","No translation comment, but Python file exists"
"stockpile","RENAMED","Missing Comment","stockpile.py","No translation comment, but Python file exists"
"stop_or_kr","RENAMED","Missing Comment","stop_or_kr.py","No translation comment, but Python file exists"
"storage_base","RENAMED","Missing Comment","storage_base.py","No translation comment, but Python file exists"
"strato","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"streamenforcement","RENAMED","Missing Comment","streamenforcement.py","No translation comment, but Python file exists"
"studiobarbero","RENAMED","Missing Comment","studiobarbero.py","No translation comment, but Python file exists"
"svbuero","RENAMED","Missing Comment","svbuero.py","No translation comment, but Python file exists"
"swisscom","RENAMED","Missing Comment","swisscom.py","No translation comment, but Python file exists"
"swisscom_tis","RENAMED","Missing Comment","swisscom_tis.py","No translation comment, but Python file exists"
"switchch","RENAMED","Missing Comment","switchch.py","No translation comment, but Python file exists"
"synacor","RENAMED","Missing Comment","synacor.py","No translation comment, but Python file exists"
"systeam","RENAMED","Missing Comment","systeam.py","No translation comment, but Python file exists"
"takedown","RENAMED","Missing Comment","takedown.py","No translation comment, but Python file exists"
"takedownnow","RENAMED","Missing Comment","takedownnow.py","No translation comment, but Python file exists"
"takedownreporting","RENAMED","Missing Comment","takedownreporting.py","No translation comment, but Python file exists"
"tampabay","RENAMED","Missing Comment","tampabay.py","No translation comment, but Python file exists"
"tassilosturm","RENAMED","Missing Comment","tassilosturm.py","No translation comment, but Python file exists"
"tecban","RENAMED","Missing Comment","tecban.py","No translation comment, but Python file exists"
"techspace","RENAMED","Missing Comment","techspace.py","No translation comment, but Python file exists"
"telecentras","RENAMED","Missing Comment","telecentras.py","No translation comment, but Python file exists"
"telecom_tm","RENAMED","Missing Comment","telecom_tm.py","No translation comment, but Python file exists"
"telecomitalia","RENAMED","Missing Comment","telecomitalia.py","No translation comment, but Python file exists"
"telenor","RENAMED","Missing Comment","telenor.py","No translation comment, but Python file exists"
"telus","RENAMED","Missing Comment","telus.py","No translation comment, but Python file exists"
"tempest","RENAMED","Missing Comment","tempest.py","No translation comment, but Python file exists"
"tencent","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"terra","RENAMED","Missing Comment","terra.py","No translation comment, but Python file exists"
"tescobrandprotection","RENAMED","Missing Comment","tescobrandprotection.py","No translation comment, but Python file exists"
"themccandlessgroup","RENAMED","Missing Comment","themccandlessgroup.py","No translation comment, but Python file exists"
"thiscompany","RENAMED","Missing Comment","thiscompany.py","No translation comment, but Python file exists"
"thomsentrampedach","RENAMED","Missing Comment","thomsentrampedach.py","No translation comment, but Python file exists"
"threeantsds","RENAMED","Missing Comment","threeantsds.py","No translation comment, but Python file exists"
"tikaj","RENAMED","Missing Comment","tikaj.py","No translation comment, but Python file exists"
"timbrasil","RENAMED","Missing Comment","timbrasil.py","No translation comment, but Python file exists"
"tmclo","RENAMED","Missing Comment","tmclo.py","No translation comment, but Python file exists"
"tntelecom","RENAMED","Missing Comment","tntelecom.py","No translation comment, but Python file exists"
"torrent_markmonitor","RENAMED","Missing Comment","torrent_markmonitor.py","No translation comment, but Python file exists"
"triciafox","RENAMED","Missing Comment","triciafox.py","No translation comment, but Python file exists"
"truelite","RENAMED","Missing Comment","truelite.py","No translation comment, but Python file exists"
"trustpilot","RENAMED","Missing Comment","trustpilot.py","No translation comment, but Python file exists"
"ttp_law","RENAMED","Missing Comment","ttp_law.py","No translation comment, but Python file exists"
"tts_stuttgart","RENAMED","Missing Comment","tts_stuttgart.py","No translation comment, but Python file exists"
"tucows","RENAMED","Missing Comment","tucows.py","No translation comment, but Python file exists"
"tvb","RENAMED","Missing Comment","tvb.py","No translation comment, but Python file exists"
"twc","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"twitter","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"tx_rr","RENAMED","Missing Comment","tx_rr.py","No translation comment, but Python file exists"
"uceprotect","RENAMED","Missing Comment","uceprotect.py","No translation comment, but Python file exists"
"ucr_edu","RENAMED","Missing Comment","ucr_edu.py","No translation comment, but Python file exists"
"ucs_br","RENAMED","Missing Comment","ucs_br.py","No translation comment, but Python file exists"
"ufrgs","RENAMED","Missing Comment","ufrgs.py","No translation comment, but Python file exists"
"ukie","RENAMED","Missing Comment","ukie.py","No translation comment, but Python file exists"
"ukrbit","RENAMED","Missing Comment","ukrbit.py","No translation comment, but Python file exists"
"uni_koblenz","RENAMED","Missing Comment","uni_koblenz.py","No translation comment, but Python file exists"
"unity_media","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"uphf","RENAMED","Missing Comment","uphf.py","No translation comment, but Python file exists"
"urlhaus","RENAMED","Renamed","urlhaus.py for urlhaus-notify@abuse.ch","Python file not found at referenced location"
"us_cert","RENAMED","Missing Comment","us_cert.py","No translation comment, but Python file exists"
"valentinobrandprotection","RENAMED","Missing Comment","valentinobrandprotection.py","No translation comment, but Python file exists"
"verifrom","RENAMED","Missing Comment","verifrom.py","No translation comment, but Python file exists"
"verizon","VERIFIED","Verified","verizon.py",""
"versatel","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"viaccessorca","RENAMED","Missing Comment","viaccessorca.py","No translation comment, but Python file exists"
"viacom","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"virtus","RENAMED","Missing Comment","virtus.py","No translation comment, but Python file exists"
"vmware","RENAMED","Missing Comment","vmware.py","No translation comment, but Python file exists"
"vobileinc","RENAMED","Missing Comment","vobileinc.py","No translation comment, but Python file exists"
"vpsnet","RENAMED","Missing Comment","vpsnet.py","No translation comment, but Python file exists"
"vpsville","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"vultr","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"watchdog","RENAMED","Missing Comment","watchdog.py","No translation comment, but Python file exists"
"web","RENAMED","Missing Comment","web.py","No translation comment, but Python file exists"
"webcapio","RENAMED","Missing Comment","webcapio.py","No translation comment, but Python file exists"
"webhostabusereporting","RENAMED","Missing Comment","webhostabusereporting.py","No translation comment, but Python file exists"
"websheriff","RENAMED","Missing Comment","websheriff.py","No translation comment, but Python file exists"
"websteiner","RENAMED","Missing Comment","websteiner.py","No translation comment, but Python file exists"
"websumo","RENAMED","Missing Comment","websumo.py","No translation comment, but Python file exists"
"webtoonguide","RENAMED","Missing Comment","webtoonguide.py","No translation comment, but Python file exists"
"weightechinc","RENAMED","Missing Comment","weightechinc.py","No translation comment, but Python file exists"
"whitefoxboutique","RENAMED","Missing Comment","whitefoxboutique.py","No translation comment, but Python file exists"
"winterburn","RENAMED","Missing Comment","winterburn.py","No translation comment, but Python file exists"
"winvoice","RENAMED","Missing Comment","winvoice.py","No translation comment, but Python file exists"
"wisc","RENAMED","Missing Comment","wisc.py","No translation comment, but Python file exists"
"wix","RENAMED","Similar Python Found","crm_wix.py","Similar Python file exists"
"wordpress","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"xarf","RENAMED","Similar Python Found","02_xarf.py","Similar Python file exists"
"xtakedowns","RENAMED","Missing Comment","xtakedowns.py","No translation comment, but Python file exists"
"yahoo","RENAMED","Missing Comment","yahoo.py","No translation comment, but Python file exists"
"ybrandprotection","RENAMED","Missing Comment","ybrandprotection.py","No translation comment, but Python file exists"
"zap_hosting","RENAMED","Missing Comment","zap_hosting.py","No translation comment, but Python file exists"
"zapret","RENAMED","Missing Comment","zapret.py","No translation comment, but Python file exists"
"zenlayer","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"zero_spam","RENAMED","Missing Comment","zero_spam.py","No translation comment, but Python file exists"
"zerofox","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"zohocorp","RENAMED","Missing Comment","zohocorp.py","No translation comment, but Python file exists"
